,Time Step,Episode,Step in Episode,Gen Loss
0,500,17,22,74.71099650065104
1,1000,34,5,75.04077428181967
2,1500,54,61,76.97219390869141
3,2000,69,9,75.42495168050131
4,2500,87,3,75.56935017903646
5,3000,100,31,72.38794021606445
6,3500,115,49,74.680824025472
7,4000,128,5,70.93087590535482
8,4500,143,40,71.410267384847
9,5000,157,33,59.17079849243164
10,5500,169,4,72.9808349609375
11,6000,180,64,72.8320421854655
12,6500,190,33,72.25508321126303
13,7000,197,54,71.55119984944662
14,7500,206,40,70.66260579427083
15,8000,218,24,70.33946075439454
16,8500,229,1,70.3665756225586
17,9000,237,68,70.03317184448242
18,9500,247,9,63.19859657287598
19,10000,256,77,68.2924799601237
20,10500,263,98,69.05758132934571
21,11000,277,39,69.06245396931966
22,11500,287,21,68.77371164957682
23,12000,294,110,59.10815302530924
24,12500,300,19,57.145224253336586
25,13000,309,54,67.76637776692708
26,13500,315,76,67.40031661987305
27,14000,322,5,66.9234619140625
28,14500,329,75,66.68131205240886
29,15000,339,14,66.4763303120931
30,15500,346,38,66.02541656494141
31,16000,351,26,65.617493947347
32,16500,358,22,65.5056978861491
33,17000,366,49,65.3933469136556
34,17500,373,61,58.16932996114095
35,18000,381,21,64.97756983439128
36,18500,387,122,64.7238380432129
37,19000,391,94,64.49177627563476
38,19500,399,32,64.32294235229492
39,20000,410,41,64.3591094970703
40,20500,415,7,64.0180898030599
41,21000,423,153,64.04041493733725
42,21500,430,23,63.752346928914385
43,22000,433,42,63.50396931966146
44,22500,439,164,63.39611638387044
45,23000,444,115,63.12109502156576
46,23500,449,3,47.611786142985025
47,24000,455,22,62.61557223002116
48,24500,460,58,62.452022298177084
49,25000,464,71,62.187843068440756
50,25500,468,1,61.8972785949707
51,26000,472,151,61.74004160563151
52,26500,477,18,61.42191162109375
53,27000,482,20,61.19357465108236
54,27500,489,18,61.04652951558431
55,28000,493,101,59.88808949788412
56,28500,499,159,57.96834500630697
57,29000,503,97,33.03601048787435
58,29500,508,55,37.76981760660807
59,30000,513,172,33.17763900756836
60,30500,522,145,21.55638542175293
61,31000,526,105,7.293487087885539
62,31500,537,102,37.08165143330892
63,32000,543,158,25.042276509602864
64,32500,550,15,18.37327740987142
65,33000,560,1,1.6097437421480814
66,33500,566,14,1.0166227300961812
67,34000,570,23,52.097113672892256
68,34500,576,8,49.45433502197265
69,35000,579,51,59.622788492838545
70,35500,583,63,59.449151102701826
71,36000,589,108,55.26723658243815
72,36500,592,67,58.99190788269043
73,37000,597,84,59.01152712504069
74,37500,602,132,58.9130968729655
75,38000,605,32,58.68740310668945
76,38500,607,198,58.55895169576009
77,39000,611,168,58.374775950113936
78,39500,614,107,58.16549173990885
79,40000,619,110,57.99665451049805
80,40500,623,89,27.795989799499512
81,41000,627,123,28.240390904744466
82,41500,631,99,47.89381090799967
83,42000,634,61,57.34300867716471
84,42500,637,65,57.21347427368164
85,43000,641,52,57.073486200968425
86,43500,645,25,56.90012143452962
87,44000,648,167,23.315395991007488
88,44500,651,179,24.55021769205729
89,45000,655,119,44.24507916768392
90,45500,658,46,53.698726399739584
91,46000,660,146,54.88517011006673
92,46500,665,20,55.831098810831705
93,47000,668,127,51.029683176676436
94,47500,671,156,49.52190017700195
95,48000,675,124,49.92121404012044
96,48500,678,31,42.68347295125326
97,49000,681,130,55.31781476338704
98,49500,686,9,55.1577766418457
99,50000,689,63,55.04791399637858
100,50500,694,53,54.93501981099447
101,51000,699,13,54.85283610026042
102,51500,701,113,54.73456319173177
103,52000,704,68,54.57067311604818
104,52500,708,14,54.442997233072916
105,53000,712,151,54.4010976155599
106,53500,717,13,54.25713946024577
107,54000,720,16,54.11548665364583
108,54500,724,3,53.98024965922038
109,55000,728,54,53.882663091023765
110,55500,732,77,53.81122932434082
111,56000,737,23,53.712868754069014
112,56500,739,129,53.60488789876302
113,57000,743,101,53.494824473063154
114,57500,746,25,53.338477325439456
115,58000,750,57,53.23887825012207
116,58500,752,175,53.13634173075358
117,59000,755,196,53.02056694030762
118,59500,761,64,52.90696385701497
119,60000,764,73,52.77910321553548
120,60500,766,173,52.676281992594404
121,61000,769,80,52.524298095703124
122,61500,775,61,52.48121350606282
123,62000,778,47,52.35415636698405
124,62500,781,198,52.28075358072917
125,63000,784,158,49.48279749552409
126,63500,788,87,50.191087849934895
127,64000,792,69,44.52574055989583
128,64500,794,169,43.17692616780599
129,65000,798,144,41.68869616190592
130,65500,801,108,51.600315984090166
131,66000,804,166,51.52265586853027
132,66500,807,66,51.38092753092448
133,67000,811,38,51.30304845174154
134,67500,816,91,51.27283897399902
135,68000,819,66,51.152508926391604
136,68500,822,73,51.046194076538086
137,69000,826,38,50.94835688273112
138,69500,829,176,50.87160797119141
139,70000,832,111,28.275814056396484
140,70500,838,43,32.45858599344889
141,71000,841,58,49.624825922648114
142,71500,844,33,50.50343373616536
143,72000,848,149,50.47953783671061
144,72500,851,117,50.36425387064616
145,73000,856,29,13.849022738138835
146,73500,860,2,25.423522631327312
147,74000,863,100,50.10551350911458
148,74500,869,15,50.07757085164388
149,75000,872,172,50.034180577596025
150,75500,877,14,49.93792203267415
151,76000,882,38,49.90453847249349
152,76500,888,108,49.93497136433919
153,77000,896,58,49.971653111775716
154,77500,905,51,50.08043352762858
155,78000,910,81,50.06455586751302
156,78500,920,3,50.197051493326825
157,79000,925,27,50.14944547017415
158,79500,928,188,50.10954157511393
159,80000,934,34,50.02752418518067
160,80500,939,40,49.99980099995931
161,81000,941,170,49.92701416015625
162,81500,945,11,49.816702143351236
163,82000,948,90,48.968903096516925
164,82500,953,16,36.14116147359212
165,83000,956,42,49.35261205037435
166,83500,958,142,49.545758946736655
167,84000,963,58,49.47841300964355
168,84500,967,149,49.44941749572754
169,85000,971,3,49.333330663045246
170,85500,974,20,49.245933278401694
171,86000,976,158,49.17886085510254
172,86500,981,162,49.13214670817057
173,87000,985,79,49.05620829264323
174,87500,988,187,49.009588623046874
175,88000,996,3,49.00995089213053
176,88500,999,176,48.9958553314209
177,89000,1003,25,48.90025151570638
178,89500,1006,59,48.83226623535156
179,90000,1009,44,48.74483375549316
180,90500,1012,18,48.6546625773112
181,91000,1017,2,48.62223790486654
182,91500,1019,127,48.55685958862305
183,92000,1022,31,48.45419120788574
184,92500,1026,23,48.398324966430664
185,93000,1031,8,48.354683049519856
186,93500,1035,92,48.356371815999346
187,94000,1039,51,48.04687220255534
188,94500,1042,19,47.881339645385744
189,95000,1045,110,20.670955912272134
190,95500,1048,10,9.558820088704428
191,96000,1054,39,12.786334228515624
192,96500,1059,26,43.489741770426434
193,97000,1064,25,39.350063451131184
194,97500,1067,117,34.76560897827149
195,98000,1071,30,45.95016174316406
196,98500,1075,7,47.78255030314128
197,99000,1078,65,47.73523127237956
198,99500,1081,12,47.66693700154622
199,100000,1085,24,47.600402959187825
200,100500,1088,14,47.51264444986979
201,101000,1090,139,47.46260693868001
202,101500,1096,129,47.55011978149414
203,102000,1099,31,47.362240091959634
204,102500,1101,136,47.35945332845052
205,103000,1106,33,47.270559310913086
206,103500,1110,80,47.21216087341308
207,104000,1113,129,47.23369077046712
208,104500,1117,53,47.13900871276856
209,105000,1120,67,47.06720237731933
