,Time Step,Episode,Step in Episode,Shield Loss
0,200,7,11,-9.425704254085819
1,400,15,3,-26.079870986938477
2,600,19,18,-22.625292523701987
3,800,26,40,-21.356425221761068
4,1000,34,5,-29.020484479268394
5,1200,43,16,-25.210341707865396
6,1400,52,2,-31.8136079788208
7,1600,58,4,-29.583931350708006
8,1800,63,15,-24.23948529561361
9,2000,69,9,-27.35884272257487
10,2200,75,21,-24.926985931396484
11,2400,83,22,-24.77248738606771
12,2600,90,42,-23.432928403218586
13,2800,96,17,-23.510856946309406
14,3000,100,31,-20.572063891092935
15,3200,107,14,-27.2386505762736
16,3400,112,47,-17.808430417378744
17,3600,117,25,-27.00777950286865
18,3800,121,30,-34.710588200887045
19,4000,128,5,-31.135514386494954
20,4200,136,12,-29.85851370493571
21,4400,142,16,-27.97078742980957
22,4600,144,97,-30.114482116699218
23,4800,152,22,-28.037845929463703
24,5000,157,33,-24.33076966603597
25,5200,162,20,-28.15739714304606
26,5400,167,35,-27.03045717875163
27,5600,171,49,-25.097286478678384
28,5800,175,43,-23.326161829630532
29,6000,180,64,-23.814947764078777
30,6200,186,14,-29.529808934529623
31,6400,189,52,-27.584996859232586
32,6600,192,28,-28.855840555826823
33,6800,194,88,-30.240005874633788
34,7000,197,54,-32.78408679962158
35,7200,199,40,-34.27308279673259
36,7400,205,23,-35.033620834350586
37,7600,209,7,-38.055563100179036
38,7800,213,6,-39.07324816385905
39,8000,218,24,-29.07335522969564
40,8200,222,8,-35.50248254140218
41,8400,226,31,-30.967474492390952
42,8600,230,37,-40.709873835245766
43,8800,234,36,-28.995200475056965
44,9000,237,68,-27.444224039713543
45,9200,242,18,-34.10320752461751
46,9400,244,60,-32.669029490152994
47,9600,252,13,-36.71585540771484
48,9800,254,6,-31.604409154256185
49,10000,256,77,-27.13319911956787
50,10200,260,3,-32.729250780741374
51,10400,262,68,-29.47713133494059
52,10600,265,70,-27.618550046284994
53,10800,273,20,-25.77599379221598
54,11000,277,39,-27.734523836771647
55,11200,281,1,-32.84434617360433
56,11400,285,47,-26.96503225962321
57,11600,289,20,-31.10275363922119
58,11800,292,4,-38.54260075887044
59,12000,294,110,-28.731355985005695
60,12200,296,50,-25.001289304097494
61,12400,299,26,-35.115243657430014
62,12600,302,56,-31.291020774841307
63,12800,306,29,-31.06240749359131
64,13000,309,54,-33.08924573262532
65,13200,311,107,-30.01978988647461
66,13400,314,5,-35.17217648824056
67,13600,317,54,-28.533740615844728
68,13800,320,12,-35.922127914428714
69,14000,322,5,-37.64964281717936
70,14200,325,77,-30.40431156158447
71,14400,328,21,-31.63869743347168
72,14600,331,74,-29.901078542073567
73,14800,334,76,-27.827277819315594
74,15000,339,14,-33.15045655568441
75,15200,342,72,-28.05947265625
76,15400,345,34,-32.98932927449544
77,15600,347,6,-35.85775998433431
78,15800,348,108,-28.644998041788735
79,16000,351,26,-34.985647455851236
80,16200,355,43,-32.59399566650391
81,16400,357,33,-37.36032307942708
82,16600,358,122,-35.56592362721761
83,16800,363,52,-32.267687479654946
84,17000,366,49,-28.492944145202635
85,17200,369,95,-34.621989186604814
86,17400,372,36,-34.41422170003255
87,17600,376,29,-33.90370171864827
88,17800,377,43,-35.871206283569336
89,18000,381,21,-35.50822270711263
90,18200,383,119,-29.16413796742757
91,18400,387,22,-31.813429069519042
92,18600,389,31,-35.67091522216797
93,18800,390,80,-30.59307969411214
94,19000,391,94,-37.90881716410319
95,19200,394,12,-39.473472595214844
96,19400,397,125,-37.58026326497396
97,19600,401,9,-34.185801378885905
98,19800,406,10,-31.728541819254556
99,20000,410,41,-29.169491704305013
100,20200,412,6,-34.14851341247559
101,20400,413,49,-32.34143225351969
102,20600,416,51,-31.17799866994222
103,20800,422,31,-28.561089706420898
104,21000,423,153,-16.365834426879882
105,21200,427,68,-27.317716979980467
106,21400,428,139,-21.041429456075033
107,21600,430,123,-32.78398399353027
108,21800,432,42,-36.15856081644694
109,22000,433,42,-32.414492734273274
110,22200,437,30,-30.399812571207683
111,22400,439,64,-27.164919980367024
112,22600,441,24,-26.03109982808431
113,22800,443,86,-30.262146313985188
114,23000,444,115,-27.264151446024577
115,23200,445,167,-17.68481763601303
116,23400,447,107,-37.19206225077311
117,23600,450,45,-33.03363087972005
118,23800,453,48,-31.541719690958658
119,24000,455,22,-31.103682645161946
120,24200,456,65,-31.527394994099936
121,24400,458,81,-28.6432519753774
122,24600,461,51,-32.11196708679199
123,24800,462,95,-22.6556037902832
124,25000,464,71,-32.40207964579265
125,25200,465,71,-25.583460903167726
126,25400,466,113,-36.75868721008301
127,25600,468,101,-20.064842001597086
128,25800,471,8,-29.331974283854166
129,26000,472,151,-2.549228836099307
130,26200,474,74,-20.9989359219869
131,26400,476,118,-12.974054658412934
132,26600,478,74,-16.28514862060547
133,26800,480,4,-26.852720642089842
134,27000,482,20,-35.017995834350586
135,27200,485,18,-34.78628018697103
136,27400,488,41,-27.38036085764567
137,27600,489,118,-26.72984873453776
138,27800,490,126,-15.59126968383789
139,28000,493,101,-26.396482340494792
140,28200,497,60,-31.51337916056315
141,28400,499,59,-24.56221892038981
142,28600,501,11,-19.498546028137206
143,28800,502,97,-20.974795214335124
144,29000,503,97,-5.568116303781668
