,Time Step,Episode,Step in Episode,Shield Loss
0,200,6,5,-13.491853755510723
1,400,15,18,-18.070328140258788
2,600,23,58,-22.54639104207357
3,800,33,24,-18.403554566701253
4,1000,38,3,-26.422476387023927
5,1200,44,38,-23.163153076171874
6,1400,47,23,-22.984408823649087
7,1600,55,26,-21.900433858235676
8,1800,63,20,-24.560854721069337
9,2000,69,15,-24.781497764587403
10,2200,76,49,-23.45094083150228
11,2400,85,34,-22.718889172871908
12,2600,92,29,-20.809555943806966
13,2800,98,22,-24.772668584187826
14,3000,102,86,-32.06587289174398
15,3200,106,18,-27.112585703531902
16,3400,112,36,-27.158374786376953
17,3600,118,40,-25.5121737798055
18,3800,123,12,-30.296089935302735
19,4000,125,124,-23.365202522277833
20,4200,131,54,-21.90467948913574
21,4400,138,5,-31.877716636657716
22,4600,146,8,-28.974388567606606
23,4800,152,48,-29.701158841451008
24,5000,158,4,-33.54474843343099
25,5200,162,6,-31.870245742797852
26,5400,166,69,-19.462658564249676
27,5600,168,57,-27.38731746673584
28,5800,172,5,-32.35062764485677
29,6000,176,85,-27.23119837443034
30,6200,181,7,-31.979576746622723
31,6400,184,22,-27.083775774637857
32,6600,189,5,-30.84400889078776
33,6800,193,15,-26.69319502512614
34,7000,197,42,-19.360337193806966
35,7200,200,37,-27.620058441162108
36,7400,205,45,-25.45698617299398
37,7600,209,47,-24.9214474995931
38,7800,215,54,-20.819088045756022
39,8000,219,84,-30.116322453816732
40,8200,225,25,-27.683295440673827
41,8400,229,67,-28.497078323364256
42,8600,234,1,-33.575481224060056
43,8800,238,37,-28.9369758605957
44,9000,242,45,-29.858851687113443
45,9200,246,36,-27.764576594034832
46,9400,252,2,-36.86593373616537
47,9600,257,3,-35.96034317016601
48,9800,259,135,-10.258751090367635
49,10000,264,1,-21.082926686604818
50,10200,270,7,-22.483276176452637
51,10400,277,24,-22.501201883951822
52,10600,280,10,-21.615226554870606
53,10800,284,22,-22.199670028686523
54,11000,288,39,-26.66873639424642
55,11200,291,31,-30.175578753153484
56,11400,297,5,-35.80304247538249
57,11600,302,23,-24.472457758585612
58,11800,307,22,-26.84134553273519
59,12000,309,34,-20.92810204823812
60,12200,313,29,-25.872643407185873
61,12400,318,4,-29.482197443644207
62,12600,322,2,-32.6292844136556
63,12800,325,86,-30.057537619272868
64,13000,328,37,-32.157857513427736
65,13200,331,24,-35.15551287333171
66,13400,333,88,-18.89751605987549
67,13600,337,31,-33.71433022816976
68,13800,340,48,-32.775339126586914
69,14000,345,15,-36.47245610555013
70,14200,347,50,-24.431577173868813
71,14400,351,74,-29.312962341308594
72,14600,353,45,-34.244524065653486
73,14800,358,42,-30.237017567952474
74,15000,361,35,-29.2600040435791
75,15200,366,13,-28.265056482950847
76,15400,371,15,-29.471429189046223
77,15600,375,45,-29.569104957580567
78,15800,378,72,-24.764691734313963
79,16000,382,23,-32.13778158823649
80,16200,385,110,-12.931743574142455
81,16400,387,39,-24.599726804097493
82,16600,388,104,-29.1852689743042
83,16800,391,13,-33.67027765909831
84,17000,392,18,-34.70982392628988
85,17200,395,25,-40.08236122131348
86,17400,396,95,-35.911736551920576
87,17600,399,20,-38.43516387939453
88,17800,403,15,-38.52244580586751
89,18000,406,22,-34.763478469848636
90,18200,408,114,-28.91478665669759
91,18400,411,81,-31.362666130065918
92,18600,416,83,-29.452686818440757
93,18800,418,55,-34.62985471089681
94,19000,420,32,-36.30326499938965
95,19200,423,49,-30.50887082417806
96,19400,425,38,-37.908942794799806
97,19600,427,47,-34.76271839141846
98,19800,430,16,-36.28782005310059
99,20000,433,34,-35.15812276204427
100,20200,434,161,-28.502311579386394
101,20400,436,27,-35.231147321065265
102,20600,437,118,-30.679280090332032
103,20800,440,19,-41.63120829264323
104,21000,443,30,-43.248273595174155
105,21200,445,33,-41.17807235717773
106,21400,449,81,-33.49042301177978
107,21600,453,7,-35.19764302571615
108,21800,457,11,-31.85767765045166
109,22000,459,46,-28.63242950439453
110,22200,460,151,-17.313387886683145
111,22400,464,12,-21.924012724558512
